UNIGRAM MODEL: 63 distinct characters, 163898 total characters
 : 0.1357368607304543 (22247)
		-B: 0.038314176245210725 (10)
		-D: 0.0038314176245210726 (1)
		-E: 0.0038314176245210726 (1)
		-F: 0.03065134099616858 (8)
		-G: 0.01532567049808429 (4)
		-H: 0.0038314176245210726 (1)
		-I: 0.007662835249042145 (2)
		-K: 0.019157088122605363 (5)
		-L: 0.011494252873563218 (3)
		-M: 0.019157088122605363 (5)
		-P: 0.0038314176245210726 (1)
		-R: 0.0421455938697318 (11)
		-S: 0.022988505747126436 (6)
		-T: 0.011494252873563218 (3)
		-V: 0.007662835249042145 (2)
		-W: 0.007662835249042145 (2)
		-Ã: 0.01532567049808429 (4)
	Bigram checksum for - is 1.0

	.: 951
		. : 0.9831756046267087 (935)
		.): 0.007360672975814932 (7)
